place,location,info,X,Y,story,,,,,
NORTHUMBERLAND HOTELS,,"In 1887, during The Adventure of the Greek Interpreter, Mycroft Holmes told Sherlock and Watson that Paul Melas often acted as a guide to the wealthy Orientals who stayed at the Northumberland Avenue hotels. The three Nothumberland luxury hotels at that time were The Metropole Hotel, now the Corinthia Hotel). The Hotel Victoria (now curiously the Grand Hotel), and The Grand Hotel. All were new in 1887, and two are open today under new names.",-0.1260424,51.5071665,The Adventure of the Greek Interpreter,,,,,
HOTEL VICTORIA (GRAND HOTEL),8 Northumberland Avenue,"In 1887, during The Adventure of the Greek Interpreter, Mycroft Holmes told Sherlock and Watson that Paul Melas often acted as a guide to the wealthy Orientals who stayed at one of the three luxury Northumberland Avenue hotels. The The Grand, then called the Victoria, was one of them.",-0.1259565,51.5070613,The Adventure of the Greek Interpreter,,,,,
SHERLOCK HOLMES PUB,No. 10 Northumberland Street,"The Sherlock Holmes Pub made a claim for being Baskerville’s Northumberland Hotel, but by the time of the adventure, the pub had changed its name from The Northumberland Hotel, to The Northumberland Arms. The new name more correctly reflected its character as a modest pub/hostelry. As such, I do not think this could have been the hotel at which the wealthy Sir Henry Baskerville would have stayed in the 1889 The Hound of the Baskervilles.Today, the pub is a Mecca for Sherlock Holmes fans. In addition to traditional pub grub and drinks, they have a decent upstairs restaurant. Be sure to see the glassed-in replica of the 221B Baker Street sitting room, moved here from the 1951 Festival of Britain venue.",-0.1252403,51.5072951,The Hound of the Baskervilles,,,,,
LADIES ENTRANCE,CHARING CROSS TURKISH BATH,"The women’s entrance to the Charing Cross Turkish Bath was in Craven Passage, along the south side of the Sherlock Holmes Pub. In Sherlock’s day, Craven Passage was called Northumberland Passage. Look for the Turkish design of the women’s entrance.",-0.1250875,51.5073134,Other,,,,,
EUSTON RAILWAY STATION,,"The Euston Railroad Station is mentioned or inferred in five Sherlock Holmes adventures. In the 1881, A Study in Scarlet, Enoch Drebber and Joseph Stangerson had been seen on an Euston Station platform, waiting for the 9:15 Liverpool Express. In 1889, Holmes, Watson and Hall Pycroft, the stock-brokers clerk left from Euston on their way to Birmingham. In 1902, Nathan Garrideb left Euston on the 12.05 train to Aston in hopes of finding the third Garrideb. The late Bernard Davies identified the 12:05 as the only train that allowed a ""halt-on-demand"" stop at Aston. In 1903, because of the press of other cases, Holmes could not accompany Dodd back to Tuxbury Old Place. The following week, when he and Watson did go, Holmes arranged for Sir James Saunders to meet them at Euston Station. After taking the train to Bedfordshire, the trio took a carriage to Tuxbury Old Place to confront Colonel Emsworth about the Blanched Soldier. Finally, in 1903, Dr. Huxtable arrived at London's Euston Station, to seek Holmes assistance at The Priory School.",-0.1341963,51.5288242,A Study in Scarlet,,,,,
"""HALLIDAY'S HOTEL SITE""",LITTLE GEORGE STREET,"In the 1881 A Study in Scarlet, we are told that Halliday’s Private Hotel was located in Little George Street. There they found the word RACHE, written in blood above Joseph Stangerson’s body. A milk delivery boy had seen someone using a ladder to enter, or exit, the room’s open window. The boy said the man was tall, had a reddish face, and was dressed in a long brown coat. Little George Street no longer exists. In 1881, it ran east west between Hampstead Road, and Cardington Road, on the south side of St James Gardens. As for Halliday’s Hotel, in 1881, there were no hotels, private or otherwise, in Little George Street. The late Bernard Davies identified the nearby Emms' Hotel as a likely alternative.Emms’ Hotel is no longer in business, but it was located where the modern Hotel Ibis sits today.",-0.1365815,51.5280771,A Study in Scarlet,,,,,
U. OF LONDON HOSPITAL,Gower Street,"In 1881, during A Study in Scarlet, we learned that Watson received his medical degree from the University of London in 1878, and undoubtedly lived nearby as a young medical student. In those days, the primary buildings for medical studies were on Gower Street. In addition to St. Bartholomew’s Hospital (St. Bart’s), Watson would have learned his surgical skills at the old University College Hospital. A new hospital, was built between 1897 and 1906 near the same spot. In 1886, during The Adventure of the Resident Patient, we learned that Percy Trevelyan also received his medical degree from the University of London.",-0.135133,51.524102,Multiple,,,,,
REGENT PARK'S SERPENTS,,"In 1899, during The Adventure of Charles Augustus Milverton, Holmes told Watson that Milverton was, “The worst man in London”.and “reminded him of the serpents in the Regent’s Park Zoo”.",-0.1519525,51.5336898,The Adventure of Charles Augustus Milverton,,,,,
DORAK'S GENERAL STORE,COMMERCIAL ROAD,"In 1903, during The Adventure of the Creeping Man, we learned that Professor Presbury was receiving strange correspondence and packages from a store on London’s Commercial Road. Holmes sent a telegram to Mercer, his general utility man, to check on the source of the packages. Mercer’s reply read, “Have visited the Commercial Road and seen Dorak. Suave Person, Bohemian, elderly. Keeps large general store”.",-0.0744838,51.518895,The Adventure of the Creeping Man,,,,,
"31 ""221B"" BAKER STREET",,"As chronicled in A Study in Scarlet, Holmes and Watson met in 1881. They wanted to find someone with whom to share cheaper quarters. The going rate at Watson's hotel would have been about six shillings per day. This means that Holmes and Watson needed accommodations that rented for between twelve and fifteen pounds a month. They went to inspect rooms at Mrs. Hudson's 221B Baker Street. Her accommodations included, ""A couple of comfortable bedrooms and a single large airy sitting room, cheerfully furnished, and illuminated by two broad windows.” In later adventures, we learn that Watson’s bedroom was on the floor above, and Sherlock’s bedroom eventually had three doors: one leading to the sitting room, a second exiting into the hallway and later, a third door hidden behind the sitting room curtains. In 1881, the name “Baker Street” applied only that section of the modern street, south of Paddington Street. The portion of the street north of Paddington, to Marylebone was known as York Place. North of York Place, the street was called Upper Baker Street. As an added puzzle to Sherlockians, the highest house number, on nineteenth century Baker Street, was 85. This meant that Conan Doyle hid the true location of 221B, until he revealed it as today’s 31 Baker Street in the 1894 Adventure of the Empty House. During their first week at Baker Street, Watson learned that Holmes had acquaintances from all classes of society. Holmes explained that these were his clients, and that he was the world’s only “consulting detective.” One morning, Holmes received a note from Inspector Tobias Gregson, and showed it to Watson. The note said, “There has been bad business at 3 Lauriston Gardens, off Brixton Road.” Enoch J. Drebber of Cleveland, Ohio had been murdered. Holmes explained that, “Gregson is the smartest of the Scotland Yarders”, and that, “He and Lestrade are the pick of a bad lot.” Holmes asked Watson to get his hat. This was the first time Holmes asked Watson to accompany him on one of his adventures. <br>Earmark www.sherlockslondon.comon your web browser for the latest version of this map, and ebook access to street-view photos of 400 Sherlock Holmes sites in London.",-0.1558471,51.5179633,Multiple,,,,,
THE EMPTY HOUSE,32-34 BAKER STREET,"In 1894, during The Adventure of the Empty House, we learned that during Holmes' three year absence, after this supposed death, his brother, Mycroft, had preserved the Baker Street rooms and papers. In 1894, Holmes and Watson took a circuitous route to the empty Camden House, and entered from the rear mews. Once inside, Watson was surprised to see their old 221B quarters directly across the street. In the Camden House, they lay in wait, and captured Colonel Sebastian Moran, who was going to use the site to shoot Holmes with an air rifle. The route they took, clearly identifies the location of both the Camden House and therefor 221B Baker Street.",-0.1554179,51.5180233,The Adventure of the Empty House,,,,,
MAGGIE OAKSHOTT'S,117 BRIXTON ROAD,"In 1889, during The Adventure of the Blue Carbuncle, James Ryder heard about the famous gem from Catherine Cusack, the Countess of Morcar’s maid. Ryder stole the gem, and took it to his sister’s house. The sister, Maggie Oakshott, lived at 117 Brixton Road. Without telling her, Ryder forced the gem into the crop of the Christmas goose she was fattening for him. After John Horner’s arrest, Ryder returned to claim his goose. He took the bird to Kilburn, where he and his friend Maudsley attempted to recover the gem. To their dismay, Ryder had selected the wrong goose.",-0.1119619,51.4778449,The Adventure of the Blue Carbuncle,,,,,
ADELAIDE STREET,,"In the 1891 Adventure of the Final Problem, we learn that the former Lowther Arcade had its main entrance on The Strand, and its back entrance on Adelaide Street. Holmes instructed Watson to exit the hansom at The Strand End, dash through the Arcade, and enter the waiting brougham on Adelaide Street. Mycroft Holmes was the driver.",-0.1259151,51.5092515,The Final Problem,,,,,
LOWTHER ARCADE,The Strand,"In the 1891 Adventure of the Final Problem, Holmes told Watson that he should send his luggage on ahead to Victoria Station by trusted messenger. Then, the next morning, he should flag a hansom cab, but not take the first or second one, and then go to The Strand end of the Lowther Arcade, dash through the Arcade to the rear exit, where a brougham would be waiting. If he followed the instructions exactly, he would reach Victoria Station just in time to catch the Continental Express.",-0.1247603,51.5092266,The Final Problem,,,,,
CHARING CROSS HOTEL (now ALBA HOTEL),The Strand,"In 1895, during The Adventure of the Bruce-Partington Plans, a message from Colonel Walter to Oberstein (in reality dictated by Holmes), persuaded Oberstein to return to London. The note named the Charing Cross Hotel as their meeting place. Oberstein fell for the ruse. After his capture, they found the missing pages of the plans in his luggage. He had planned to auction them to the European navel powers. The famous old Charing Cross hotel is still in business, and is located at the center of Sherlock’s London. It is near many Sherlock Holmes sites; including the Sherlock Holmes Pub, Simpson’s Restaurant, and Northumberland Avenue. The hotel is an excellent choice for Sherlock Holmes fans visiting London.",-0.1249051,51.5084486,The Adventure of the Bruce-Partington Plans,,,,,
FARRINGTON STREET,,"In the 1890 Adventure of the Red-Headed League, two hansoms cabs made their way to the bank, Holmes explained that one of the criminals involved was John Clay. Clay’s grandfather had been a royal duke, and Clay had been to Eton and Oxford. Holmes, Watson, Jones, and Merryweather, “rattled through an endless labyrinth of gas-lit streets” until they reached Farrington Street.",-0.1043701,51.5142244,The Red-Headed League,,,,,
GRESHAM HOUSE,No. 24 HOLBORN VIADUCT,"In the 1895 Adventure of the Norwood Builder, John Hector McFarlane told Holmes that he was a junior partner in the law firm of Graham & McFarlane, at 426 Gresham Buildings.",-0.105443,51.517382,The Adventure of the Norwood Builder,,,,,
SAFFRON HILL,,"In the 1900 Adventure of the Six Napoleons Lestrade told Holmes that they had an inspector, who made a specialty of the Saffron Hill Italian Quarter. The inspector recognized the murdered man as Pietro Venucci, who is connected to the Mafia. Lestrade wanted Holmes to come to Saffron Hill with the police, and search for Beppo.",-0.1068268,51.52043,The Adventure of the Six Napoleons,,,,,
ROSS & MANGLES,FULHAM ROAD,"In 1889, during The Hound of the Baskervilles mystery, Stapleton purchased the gaint hound from Ross & Mangles, dog dealers in Fulham Road.",-0.195007,51.480047,The Hound of the Baskervilles,,,,,
GLOUCESTER ROAD STA.,,"In 1895, during The Adventure of the Bruce-Partington Plans, the Circle Underground Line was clear of tunnels near the Gloucester Road Station. Herr Oberstein’s rear windows at Caulfield Gardens (No. 28 Hogarth Road) overlooked the tracks.",-0.182519,51.4942365,The Adventure of the Bruce-Partington Plans,,,,,
"""GOLDINI'S RESTAURANT""",,"In 1895, during The Adventure of the Bruce-Partington Plans, Holmes asked Watson to meet him at Goldini’s Restaurant in Gloucester Road, and bring, “A jimmy, a dark lantern, a chisel, and a revolver”. After dinner, they burgled Oberstein’s townhouse, and found a series of personal ads from the Daily Telegraph, all were signed, “Pierrot”.",-0.182476,51.4949445,The Adventure of the Bruce-Partington Plans,,,,,
GOODGE & TOTTENHAM CRT. RD.,,"In the 1889 Adventure of the Blue Carbuncle, Henry Baker, while on his way home with his Christmas goose, was assaulted at the corner of Goodge Street and Tottenham Court Road, by a “knot of roughs”. One of the roughs knocked off Henry’s hat, and when Henry raised his walking stick to defend himself, he smashed a shop window. At that point, Peterson, the commissionaire, who was also walking home, saw the fracas, and rushed to help. The roughs and Henry Baker saw him as an official looking person in uniform, and ran away. Peterson, “was left in possession of the field of battle, and also…the spoils of victory,” including the battered hat, and the goose. Peterson brought the hat and goose to Holmes. Because there were signs it should be eaten immediately, Holmes gave the goose back to Peterson, and kept the hat.",-0.1339388,51.5200395,The Adventure of the Blue Carbuncle,,,,,
UNIV. OF LONDON ADMIN.,Burlington Gardens,"During the 1881 A Study in Scarlet, and the 1886 Adventure of the Resident Patient, we learned that Watson and Percy Trevelyan both studied for their medical degrees at the University of London, In those days, the University used the Burlington Gardens Building for administrative offices.",-0.14067,51.5098595,Multiple,,,,,
PICCADILLY,,"In the 1887 Adventure of the Greek Interpreter, Holmes and Watson had to walk across Piccadilly, to enter St. James’s Street, on their way to Pall Mall and the Diogenes Club.",-0.1403385,51.5079278,The Adventure of the Greek Interpreter,,,,,
BOND STREET,,"In the 1887 Adventure of the Greek Interpreter, Holmes and Watson walked down down Bond Street, and crossed Piccadilly, to St. James’s Street, on their way to Pall Mall and the Diogenes Club. In the 1889 The Hound of the Baskerville, to kill time before their two o’clock appointment with Sir Henry, Holmes and Watson walked to Bond Street, and spent the afternoon in the art galleries. The works of the modern Belgian masters particularly interested Holmes. In 1890, during The Adventure of Silver Blaze, Holmes learned that William Darbyshire was Straker’s persona, and that he had purchased an expensive women’s outfit from Madame Lesurier, a milliner in Bond Street.",-0.1413667,51.5093801,Multiple,,,,,
"""BARKLEY"" SQUARE",,"In the 1895 Adventure of the Bruce-Partington Plans, Admiral Sinclair lived on Berkeley Square. In that adventure, Conan Doyle spelled it B-a-r-c-l-a-y, the way it is pronounced. Holmes confirmed that Sir James spent the evening with Admiral Sinclair. In the 1902 Adventure of the Illustrious Client, Holmes made an appointment for Kitty to tell her story to Violet de Merville. Violet lived with her father, General de Merville, at 104 Berkeley Square. Their house was, “One of those…London castles which would make a church seem frivolous”. When they arrived, Violet was unmoved, saying, “You have called to malign my fiancé…it is only by my father’s request that I see you at all”.",-0.1458263,51.5096773,Multiple,,,,,
BOODLE’S,28 St. James’s Street,"On their way back to Baker Street, in the 1902 Adventure of the Three Gables, Holmes told Watson, “This is a case for Langdale Pike”. Pike spent his waking hours in the bow window of a St. James’s gentleman’s club (Boodles), gathering London gossip.",-0.1395929,51.5067892,The Adventure of the Three Gables,,,,,
SIMPSON’S-IN-THE-STRAND,No. 100 the Strand,"We first learn of Simpson's in the 1889 Adventure of the Dying Detective when, after his three day fast, Holmes told Watson, ""something nutritious at Simpson's would not be out of place"". Later, in the 1902 Adventure of the Illustrious Client, Watson joined Holmes at the table in Simpson's front window. Homes said, Johnson is on the prowl"". Holmes was referring to Shinwell Johnson, who before he began assisting Holmes, had been a dangerous villain. With his underworld contacts, Johnson was a valuable asset. Simpson’s, arguably the best-known English restaurant in London, has not changed much since Watson referred to it as our ""Strand Restaurant"". If you dine there, and order the table side carved roast beef, remember to give a separate cash tip to the carver.",-0.120281,51.5108091,Multiple,,,,,
CHRISTIE’S AUCTION,8 King Street,"In the 1902 Adventure of the Three Garridebs, Nathan Garrideb rarely left his quarters, except to go to Christie’s or Sotheby’s to bid on additions to his natural history collection. In those days, Christie’s Auction House was located at Number 8 King Street. In the 1902 Adventure of the Illustrious Client, if Watson was pressed for a price on the blue Ming saucer, he was to suggest that Christie’s or Sotheby’s evaluate it.",-0.1376007,51.5064028,Multiple,,,,,
HAMMERSMITH,,"In the 1890 Adventure of the Second Stain, John Mitton, Eduardo Lucas’s valet, was out the night of the murder, and had an ironclad alibi. He was visiting a friend in Hammersmith. In the 1896 Adventure of the Sussex Vampire, Watson handed Holmes his great index volume. Under V, Holmes found “Vampirism in Hungary”, and “Vampires in Transylvania”. He also found Victor Lynch, the forger, Vittoria, the circus belle, and Vigor, the Hammersmith wonder.",-0.222945,51.4916179,Multiple,,,,,
HAMMERSMITH BRIDGE,,"In the 1900 Adventure of the Six Napoleons, Holmes told Lestrade, “If you come with me to Chiswick tonight…I promise to go to the Italian Quarter with you tomorrow”. That night, a four-wheeler dropped them near the far end of Hammersmith Bridge.",-0.2324725,51.4874761,The Adventure of the Six Napoleons,,,,,
HALES LODGE,HAMPSTEAD,"In the 1888 The Valley of Fear, Cecil James Barker, of Hales Lodge Hampstead, was a frequent visitor to Birlstone Manor. Although Barker was English, he had known Douglas in America. Ames, the butler, described Barker as, “An easy-going…gentleman…But, my word! I had rather not be the man that crossed him”. In the 1889 The Adventure of the Stock-Brokers Clerk, Hall Pycroft lived in Hampstead, at Potter’s Terrace. Before reporting to his new position at Mawson & Williams’s, he received a visit from Arthur Pinner, whose card said he was a “Financial Agent” for a Birmingham hardware company.",-0.1782198,51.5566885,The Valley of Fear,,,,,
APPLEDORE TOWERS,"CHURCH ROW, HAMPSTEAD","In the 1899 Adventure of Charles Augustus Milverton, Milverton lived in Appledore Towers, Hampstead. He had his blackmailing claws in Lady Eva Blackwell. Holmes, acting as Lady Eva’s agent, failed to reach an agreement with Milverton, and had chose another course of action. At eleven, Holmes and Watson took a cab from Oxford Street to Church Row in Hampstead. From there it was a fifteen-minute walk to Milverton’s house. They planned to steal the embarrassing papers, and return to Baker Street by two o’clock.",-0.1813889,51.5552778,The Adventure of Charles Augustus Milverton,,,,,
HAMPSTEAD HEATH,,"In the 1902 Adventure of the Red Circle, the men drove Mr. Warren around for about an hour, before depositing him on Hampstead Heath. He took the bus home. Mrs. Warren wanted to evict her lodger right then, but thought she had better get Holmes’s advice first.",-0.1631641,51.5608245,The Adventure of the Red Circle,,,,,
THREE GABLES,,"In the 1902 Adventure of the Three Gables, Mrs. Mary Maberley sent an evening letter to Holmes asking him to visit her at Three Gables, her house at Harrow Weald. She had received a very strange offer to buy her house and all of its contents. She wanted Holmes’s advice.",-0.33943,51.604727,The Adventure of the Three Gables,,,,,
HARROW WEALDSTONE STA.,,"In the 1902 Adventure of the Three Gables, Holmes and Watson took a short railroad journey, and a shorter carriage drive to Three Gables, Mrs. Maberley's house in Harrow Weald. . The name “Weald Stone” comes from an ancient sarsen stone, which was later embedded in the wall of the old “Red Lion Inn” at the corner of the High Road and College Road. The ancient tavern is now called the Weald Stone Inn.",-0.334575,51.591824,The Adventure of the Three Gables,,,,,
WATSON'S 1890 SURGERY,CHURCH STREET,"In the 1890 Adventure of the Red-Headed League, we learn the Watson had a house on Church Street in Kensington. After Holmes and Watson left St. James’s Hall, Watson went to his house, and agreed to meet Holmes again at ten that night. It was also at the Church Street address where in 1894, at the beginning of The Adventure of the Empty House, that Watson returned home, and had a visitor. It was the old bibliophile Watson had bumped into on Park Lane. The old man claimed to be Watson’s neighbor, with a little bookstore at the corner of Church Street. Watson fainted when the old man dropped his disguise and Holmes, whom Watson had thought dead, stood before him.",-0.1950531,51.508462,Multiple,,,,,
HORACE HARKER'S,CAMPDEN HOUSE ROAD,"In the 1900 Adventure of the Six Napoleons, the bust of Napoleon taken from the house in Pitt Street was found smashed in the front garden of a nearby empty house in Campden House Road. Holmes called to Lestrade’s attention that the front garden there was beneath a street light. Horace Harker said he had purchased his bust of Napoleon from Harding Brothers, a shop in the Kensington High Street.",-0.193967,51.504355,The Adventure of the Six Napoleons,,,,,
HARDING BROTHERS,KENSINGTON HIGH STREET,"In the 1900 Adventure of the Six Napoleons, Horace Harker said he had purchased his bust of Napoleon from Harding Brothers, a shop in the Kensington High Street. The shop was just two doors from the underground station. Harding Brothers bought three plaster busts from Gelder and Co., and sold one to Harker, one to Mr. Josiah Brown of Laburnum Lodge, Laburnum Vale, Chiswick, and one to Mr. Sandeford of Lower Grove Road, Reading.",-0.1927328,51.5014767,The Adventure of the Six Napoleons,,,,,
CURZON SQUARE,,"In the 1891 Adventure of Wisteria Lodge, Murillo and Lopez managed to escape their police pursuers by entering a London lodging-house, and leaving by the back gate into Curzon Square, then called Seamore Place. They were never seen again.",-0.15081,51.506145,The Adventure of Wisteria Lodge,,,,,
ST. BART'S HOSPITAL,,"In the 1881 A Study in Scarlet, young Stamford introduced Watson and Holmes in St. Bart’s chemical laboratory. Holmes told Watson, “You have been in Afghanistan, I perceive.” This was the first time Holmes astonished Watson with his special abilities. St. Bartholomew’s Hospital has an excellent small museum, just inside the Henry VIII Gate. Among the items displayed, is the plaque commemorating this first meeting of Holmes and Watson.",-0.10098,51.518033,A Study in Scarlet,,,,,
HOLBORN RESTAURANT,,"In the 1881 A Study in Scarlet adventures, the Holborn Restaurant was located on the southwest corner of High Holborn and Little Queen Street. Today the modern Kingsway has replaced Little Queen. During lunch, Watson continued to talk to Stamford about his decision to leave his Strand hotel and find someone to share expenses in cheaper quarters. Stamford was not sure that Watson would be comfortable living with Sherlock Holmes. However, he agreed to introduce the two. Stamford said that Sherlock could be found most days at the laboratory at St. Bart's Hospital.",-0.1205311,51.5173202,A Study in Scarlet,,,,,
COLLEGE OF SURGEONS,35 Lincoln’s Inn Fields,"In the 1889 adventure, The Hound of the Baskervilles, Dr. Mortimer said that on the Saturday before they all met at Paddington Station, that he and Sir Henry had stayed together the whole time in London, except for Friday afternoon, when he went alone to the Museum of the College of Surgeons.",-0.1161289,51.5152727,The Hound of the Baskervilles,,,,,
"""ALPHA INN?""",MUSEUM TAVERN 49 Great Russell Street,"In the 1889 Adventure of the Blue Carbuncle, the “Alpha Inn” was described as being near the British Museum, “At the corner of one of the streets which run down into Holborn”. Some of the inn’s regulars, including Henry Baker, formed a goose club. By contributing a few pence each week, they each received a Christmas, goose. It was Henry Baker’s luck to receive the goose with the blue carbuncle in its crop.",-0.1259565,51.5181435,The Adventure of the Blue Carbuncle,,,,,
LOWER BURKE STREET,(LADBROKE GROVE),"In the 1889 Adventure of the Dying Detective, described Lower Burke as the location of the where Culverton Smith rented his house. Although Conan Doyle changed the name, Ladbroke Grove fits the described location “In the vague borderland between Notting Hill and Kensington”. Smith was a well-known planter from Sumatra and an expert on oriental diseases. He had a grudge against Holmes, because Holmes suspected him in the death of his nephew, Victor Savage.",-0.20668,51.512789,The Adventure of the Dying Detective,,,,,
RUSSIAN EMBASSY,BELGRAVE SQUARE,"In the 1894 Adventure of the Golden Pince-Nez, Anna, before coming out of her hiding place, had taken a fatal dose of poison. She gave Holmes the papers that would free her friend Alexis from a Russian prison, and asked him to take the papers to the Russian Embassy. In 1894, the Russian Embassy was in Chesham House, Belgrave Square, with their Consulate at 17 Great Winchester Street in The City.",-0.1535683,51.4981106,The Adventure of the Golden Pince-Nez,,,,,
AUDLEY COURT,,"In the 1881 A Study in Scarlet, Holmes and Watson went to see the constable, who found Enoch Drebber’s body. The constable's name was John Rance, who lived at No. 46 Audley Court, Kennington Park Gate. Bernard Davies identified the address as Aulton Place, a narrow alley off Stannary Street.",-0.1101027,51.4864043,A Study in Scarlet,,,,,
UNDERWOOD HABERDASHERS,129 CAMBERWELL ROAD,"In the 1881 A Study in Scarlet, Enoch Drebber bought a hat from Underwood, a haberdasher at No. 129 Camberwell Road. Drebber gave Mrs. Charpentier’s boarding house as his London address.",-0.094332,51.48108,A Study in Scarlet,,,,,
MORSE HUDSON'S SHOP,310-312 KENNINGTON ROAD,"In the 1900 Adventure of the Six Napoleons, Lestrade said that the first incident had happened four days ago at the shop of Morse Hudson on Kennington Road. The smashed bust of Napoleon was only worth a few shillings, so to Lestrade, it looked like a random case of hooliganism. The late Bernard Davies identified No. 310-312 Kennington Road as the location of Morse Hudson’s shop.",-0.111371,51.487492,The Adventure of the Six Napoleons,,,,,
DR. BARNICOT'S SURGERY,KENNINGTON ROAD,"In the 1900 Adventure of the Six Napoleons, the second incident was at Dr. Barnicot’s, who lived on Kennington Road, and had a branch surgery on Lower Brixton Road. Dr. Barnicot was an admirer of Napoleon, and had purchased two duplicate plaster casts from Morse Hudson. One bust was for his house, and the other for his surgery. When he woke one morning, he found that his house had been burgled, and the bust of Napoleon stolen. It was found smashed outside his house.",-0.111217,51.488173,The Adventure of the Six Napoleons,,,,,
STIMSON UNDERTAKERS,No. 345 Kennington Road,"In the 1902 Adventure of Lady Frances Carfax, Mrs. Fraser came to pawn another pendant. Phillip Green followed her as she walked to Stimson and Co., an undertaker on Kennington Road. Stimson had been commissioned to make an unusually deep casket for Shlessinger. The late Bernard Davies identified No. 345 Kennington Road as the location of Stimson & Co.",-0.111347,51.4874,The Adventure of Lady Frances Carfax,,,,,
OLYMPIA HORSE SHOW,,"In the 1914 adventure, His Last Bow, Von Bork matched his English friends by taking a prize in The Horse of the Year competition at Olympia. Baron Von Herling, the chief secretary of the German legation, told Von Bork that he would receive a warm welcome when he returned to Berlin.",-0.210264,51.495612,His Last Bow,,,,,
MAUDSLEY'S,KILBURN,"In the 1889 Adventure of the Blue Carbuncle, Scotland Yard’s Inspector Bradstreet suspected John Horner, a plumber, of stealing the Countess of Morcar’s blue carbuncle from her suite at the Hotel Cosmopolitan. James Ryder, upper-attendant at the hotel, said that he had shown Horner up to the Countess’s dressing room on the day of the robbery. What the police did not know was that Ryder had heard from his friend, Maudsley, how thieves could dispose of stolen property. Maudsley lived in Kilburn.",-0.203215,51.54403,The Adventure of the Blue Carbuncle,,,,,
GRAY’S INN ROAD,,"In the 1987 Adventure of the Missing Three-Quarter, Holmes felt that Cambridge was the logical starting point for their investigation. He and Watson caught a cab and rattled up Gray’s Inn Road on their way to King’s Cross Station.",-0.1191598,51.5283236,The Adventure of the Missing Three-Quarter,,,,,
BOVINGTON'S PAWNSHOP,,"In the 1902 Adventure of Lady Frances Carfax, Lady Frances’s silver-and-brilliant pendant was pawned at Bovington’s in Westminster Road. The man who pawned the pendant was a large clean-shaven man of clerical appearance. This obviously referred to Shlessinger. Holmes allowed Philip Green to watch Bovington’s Pawnshop to see if Shlessinger would return. Green promised to take no action without instructions from Holmes.",-0.1074386,51.4985647,The Adventure of Lady Frances Carfax,,,,,
HATTY DORAN'S,,"In the 1886 Adventure of the Noble Bachelor, Hatty disappeared from her Lancaster Gate wedding breakfast. Lord St. Simon and the bride’s father went to the police, whose first line of inquiry was to find Flora Millar. She had tried to force her way into the wedding breakfast, indicating she had some claim on St. Simon.",-0.175915,51.513667,The Adventure of the Noble Bachelor,,,,,
HYDE PARK,,"In the 1886 Adventure of the Noble Bachelor, after bolting from her wedding breakfast, Hatty Doran was seen walking in Hyde Park with Flora Millar. Flora had been on “very friendly footing” with Lord St. Simon, and had created a disturbance outside the Doran's Lancaster Gate house.",-0.1704597,51.5090764,The Adventure of the Noble Bachelor,,,,,
SERPENTINE LAKE,,"In the 1886 Adventure of the Noble Bachelor, Inspector Lestrade, In a futile effort to find Hatty Doran, began dragging The Serpentine Lake. This Hyde Park boating lake dates from 1730 when Queen Caroline, wife of George II, ordered the damming of the River Westbourne.",-0.1629066,51.504896,The Adventure of the Noble Bachelor,,,,,
GEIDER & CO.,,"In the 1900 Adventure of the Six Napoleons, Gelder and Co. made the Napoleon busts. The company was located on “Church Street” in Stepney, and were a well-known house in the trade. They sold six to two London area retailers, three to Morse Hudson, and three to Harding Brothers.",-0.045245,51.514518,The Adventure of the Six Napoleons,,,,,
LONDON BRIDGE STATION,,"The London Bridge Railway Station was mentioned in seven Sherlock Holmes adventures. In the 1879 Adventure of the Musgrave Ritual, Holmes left from London Bridge Station to visit Hurlstone, in western Sussex. In the 1887 Adventure of the Yellow Face, the train service from the City to Norbury would have used the London Bridge Station. Also in 1887, during The Adventure of the Greek Interpreter, it took an hour for Inspector Gregson to get a warrant to enter the house in Beckenham, plus an additional forty-minute train ride from London Bridge Station. In the 1895 Adventure of the Norwood Builder, after John Hector McFarlane arrived at the London Bridge Station, he came directly to Baker Street, with Inspector Lestrade hot on his heels. In the 1895, Adventure of the Bruce-Partington Plans, Holmes and Watson took their investigation to the Woolwich Arsenal. On their way, Holmes sent Mycroft a telegram from London Bridge Station. It read, “See some light in the darkness, but it may possibly flicker out. Meanwhile, please send…a complete list of all foreign spies…in England”. In the 1897 Adventure of the Dancing Figures, Hilton Cubitt sent a telegram to Holmes saying he was returning to London, and would reach Liverpool Street Station at 1:20. When Cubitt arrived at Baker Street, he brought additional copies of the dancing figures notes. In the 1898 Adventure of the Retired Colourman, Holmes asked Watson to accompany Josiah Amberley on the 5:20 train from Liverpool Street Station to Little Purlington. Holmes said, “Should he break away or return, get to the nearest telephone exchange and send the single word ‘Bolted’ I will arrange here that it shall reach me wherever I am”.",-0.086174,51.505083,Multiple,,,,,
